,0,1,2,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,target
131,-3243.003520318768,322.6653909224103,167.64691944366268,B,E,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,20.5625
132,103.81841001311071,-485.71069564610457,-112.96272294041425,C,K,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.430007999999997
133,-1547.9256165882098,-344.6218001260107,-379.4625598775383,A,F,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18.921905
134,-1556.1732370797522,-377.30622897142416,-347.2418401137313,A,G,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,17.3438
135,480.33528390767106,459.0129944580293,818.7867850355628,D,C,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,19.06
136,2243.903766533667,42.84192248730931,-48.157844455026854,A,C,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,22.60001
137,-404.00329503257916,-493.2754814130308,-219.52462786140623,E,L,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.43
138,-2030.5489684680547,-96.07798191762208,-49.94565889178986,D,F,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,22.125
139,1224.6809709831896,1616.7367079590335,-349.96212564064984,B,C,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.84
140,1974.3965624277237,-602.5428200465325,-47.31929662776073,C,A,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.75999
141,2037.5120771287936,-553.103893997562,49.88017041848395,B,C,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18.660003
142,-1935.7008898810466,-71.70367124926696,241.68699635655776,A,J,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.625
143,-452.12315388594175,-109.20444054293205,-191.08722139031622,D,D,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,20.110001
144,1706.5185465862526,589.6650390741198,-1.3751472923128971,C,F,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.979996
145,1307.6080970488238,334.70495923533963,-495.45511647229023,B,C,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,20.689994
146,1234.0444847166448,459.63716451796535,64.89951809744926,C,K,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18.88
147,2820.191722374275,-1114.546140456588,278.0109594356015,C,L,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.83002
148,1691.02431556474,1325.0448000538465,-239.50387015685635,E,D,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,21.54
149,-2762.8923273023165,111.32401400645958,-29.57314709314944,B,F,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.7188
150,-2175.0076519531603,-10.613175146735168,356.164152690319,B,K,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.3125
151,-72.50624214693376,-116.07783803643774,377.3842816756003,B,K,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,21.260002
152,1919.1387510315717,-419.7212455762557,475.36038953116696,B,I,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.529999
153,-18.219210801914013,-403.72741625009866,628.7109230206645,A,F,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,18.920006
154,-2580.8656091403445,121.26651396072168,379.5618569975051,E,C,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,20.375
155,1575.5054908418667,-264.3304489717834,-580.9709197213534,D,L,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.379997
156,-1935.7638619728884,124.89558008755323,1013.3958342765038,B,I,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,17.5
